Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,date,expName,session,participant,
Yes-No Task,0,0,0,0,9,-1,Correct Rejection,0.467112200102,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_1,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,1,0,1,0,9,-1,Correct Rejection,0.367129700026,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_2,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,2,0,2,0,9,-1,Miss,0.4337696,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_3,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,3,0,3,0,9,-1,Miss,0.433850199915,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_4,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,4,0,4,0,9,-1,Hit,0.467644699849,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_5,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,5,0,5,0,9,-1,Correct Rejection,0.434272400104,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_6,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,6,0,6,0,9,-1,Miss,0.43266270007,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_7,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,7,0,7,0,9,-1,Hit,0.434183200123,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_8,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,8,0,8,0,9,-1,Miss,0.401369699975,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_9,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,9,0,9,0,9,-1,Hit,0.497059700079,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_10,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,10,0,10,0,9,-1,Correct Rejection,0.434703700012,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_11,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,11,0,11,0,9,-1,Miss,0.432997300057,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_12,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,12,0,12,0,9,-1,Correct Rejection,0.436025799951,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_13,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,13,0,13,0,9,-1,Hit,0.334030100144,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_14,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,14,0,14,0,9,-1,Correct Rejection,0.366924199974,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_15,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,15,0,15,0,9,-1,Hit,0.367225700058,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_16,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,16,0,16,0,9,-1,Hit,0.400475000031,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_17,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,17,0,17,0,9,-1,Correct Rejection,0.50245229993,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_18,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,18,0,18,0,9,-1,Correct Rejection,0.434783699922,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_19,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,19,0,19,0,9,-1,False Alarm,0.334417599952,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_20,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,20,0,20,0,9,-1,Correct Rejection,0.500232600141,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_21,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,21,0,21,0,9,-1,Hit,0.401893300004,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_22,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,22,0,22,0,9,-1,Hit,0.398424600018,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_23,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,23,0,23,0,9,-1,Correct Rejection,0.400952600176,False,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_24,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
Yes-No Task,24,0,24,0,9,-1,Hit,0.36718190019,True,-1,stimulus_WOAN27_Yes-No Task_2019_Jun_12_1453_25,-1,False,2019_Jun_12_1453,Yes-No Task,1,WOAN27,
