Task,Signal Intensität,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,response,time_response,date,expName,session,participant,Unnamed: 13
Yes-No Task,11.0,0,0,0,0,11.0,False Alarm,0.0667913365178,2018_Dec_27_1404,Yes-No Task,1,lolo,
Yes-No Task,11.0,1,0,1,0,11.0,False Alarm,0.0336637565633,2018_Dec_27_1404,Yes-No Task,1,lolo,
Yes-No Task,11.0,2,0,2,0,11.0,Hit,0.183009444736,2018_Dec_27_1404,Yes-No Task,1,lolo,
Yes-No Task,10.5,0,0,0,0,10.5,False Alarm,0.133760030265,2018_Dec_27_1404,Yes-No Task,1,lolo,
Yes-No Task,10.5,1,0,1,0,10.5,Hit,0.16711464361300002,2018_Dec_27_1404,Yes-No Task,1,lolo,
Yes-No Task,10.5,2,0,2,0,10.5,False Alarm,0.050433026161000004,2018_Dec_27_1404,Yes-No Task,1,lolo,
Yes-No Task,10.0,0,0,0,0,10.0,False Alarm,0.6169133721850001,2018_Dec_27_1404,Yes-No Task,1,lolo,
Yes-No Task,10.0,1,0,1,0,10.0,False Alarm,0.21602905041099998,2018_Dec_27_1404,Yes-No Task,1,lolo,
Yes-No Task,10.0,2,0,2,0,10.0,No Answer,2.0,2018_Dec_27_1404,Yes-No Task,1,lolo,
Yes-No Task,13.3,0,0,0,0,13.3,Hit,0.13378876866800002,2018_Dec_27_1405,Yes-No Task,2,lolo2,
Yes-No Task,13.3,1,0,1,0,13.3,False Alarm,0.0668459394947,2018_Dec_27_1405,Yes-No Task,2,lolo2,
Yes-No Task,13.3,2,0,2,0,13.3,False Alarm,0.0666070003062,2018_Dec_27_1405,Yes-No Task,2,lolo2,
Yes-No Task,12.8,0,0,0,0,12.8,Hit,0.0170279152226,2018_Dec_27_1405,Yes-No Task,2,lolo2,
Yes-No Task,12.8,1,0,1,0,12.8,False Alarm,0.0338008797262,2018_Dec_27_1405,Yes-No Task,2,lolo2,
Yes-No Task,12.8,2,0,2,0,12.8,Hit,0.15038930275499998,2018_Dec_27_1405,Yes-No Task,2,lolo2,
Yes-No Task,12.3,0,0,0,0,12.3,Hit,0.0169634590857,2018_Dec_27_1405,Yes-No Task,2,lolo2,
Yes-No Task,12.3,1,0,1,0,12.3,False Alarm,0.0339388241991,2018_Dec_27_1405,Yes-No Task,2,lolo2,
Yes-No Task,12.3,2,0,2,0,12.3,False Alarm,0.166842449922,2018_Dec_27_1405,Yes-No Task,2,lolo2,
